id,position,is_classified,status,detail,points,is_eligible_for_points,grid,time,fastest_lap_rank,laps_completed,round_entry_id,session_id
487,17,f,11,Retired,0,t,25,,,5,487,61
488,18,f,11,Ignition,0,t,30,,,5,488,61
489,19,f,11,Axle,0,t,26,,,4,489,61
490,20,f,11,Retired,0,t,23,,,3,490,61
491,21,f,11,Suspension,0,t,24,,,3,491,61
492,22,f,11,Oil pressure,0,t,21,,,2,492,61
493,23,f,10,Accident,0,t,3,,,1,493,61
494,24,f,11,Gearbox,0,t,7,,,1,494,61
495,25,f,20,Disqualified,0,t,10,,,1,495,61
496,26,f,11,Gearbox,0,t,13,,,1,496,61
497,27,f,11,Retired,0,t,18,,,1,497,61
498,28,f,11,Retired,0,t,20,,,1,498,61
499,29,f,11,Brakes,0,t,27,,,1,499,61
500,30,f,11,Retired,0,t,16,,,0,500,61
501,1,t,0,Finished,9,t,1,02:53:28.5,,90,501,64
502,2,t,0,Finished,6,t,2,02:54:08.6,,90,502,64
503,3,t,0,Finished,4,t,4,02:55:02.9,,90,503,64
504,4,t,1,+2 Laps,3,t,3,,,88,504,64
505,5,t,1,+3 Laps,2,t,6,,,87,505,64
506,6,t,1,+3 Laps,0,t,5,,,87,506,64
507,7,t,1,+5 Laps,0,t,10,,,85,507,64
508,8,t,1,+6 Laps,0,t,9,,,84,508,64
509,9,t,1,+7 Laps,0,t,16,,,83,509,64
510,9,t,1,+7 Laps,0,t,16,,,83,510,64
511,10,f,11,Wheel bearing,0,t,7,,,76,511,64
512,11,f,11,Engine,0,t,18,,,73,512,64
513,12,f,1,Not classified,0,t,14,,,70,513,64
514,13,f,11,Oil pressure,0,t,13,,,27,514,64
515,14,f,11,Engine,0,t,17,,,19,515,64
516,15,f,11,Clutch,0,t,11,,,15,516,64
517,16,f,11,Electrical,0,t,6,,,10,517,64
518,17,f,11,Differential,0,t,15,,,7,518,64
519,18,f,11,Axle,0,t,12,,,4,519,64
520,1,t,0,Finished,8.5,t,1,02:50:45.6,,80,520,67
521,2,t,0,Finished,6.5,t,5,02:51:47.4,,80,521,67
522,3,t,0,Finished,4,t,2,02:52:49.8,,80,522,67
523,4,t,0,Finished,3,t,3,02:52:57,,80,523,67
524,5,t,1,+1 Lap,2,t,13,,,79,524,67
525,6,t,1,+1 Lap,0,t,8,,,79,525,67
526,7,t,1,+3 Laps,0,t,6,,,77,526,67
527,8,t,1,+4 Laps,0,t,18,,,76,527,67
528,9,t,1,+4 Laps,0,t,15,,,76,528,67
529,10,t,1,+5 Laps,0,t,17,,,75,529,67
530,11,t,1,+5 Laps,0,t,23,,,75,530,67
531,12,t,1,+6 Laps,0,t,19,,,74,531,67
532,13,t,1,+7 Laps,0,t,20,,,73,532,67
533,14,t,1,+9 Laps,0,t,7,,,71,533,67
534,15,t,1,+12 Laps,0,t,12,,,68,534,67
535,16,f,11,Suspension,0,t,1,,,60,535,67
536,17,f,11,Engine,0,t,25,,,46,536,67
537,18,f,11,Engine,0,t,11,,,42,537,67
538,19,f,1,Not classified,0,t,12,,,38,538,67
539,20,f,11,Engine,0,t,16,,,24,539,67
540,21,f,11,Engine,0,t,4,,,5,540,67
541,22,f,11,Suspension,0,t,2,,,4,541,67
542,23,f,11,Engine,0,t,16,,,3,542,67
543,24,f,11,Gearbox,0,t,10,,,0,543,67
46353,9,t,,,,t,,,,,26547,4691
555,1,t,0,Finished,9,t,1,03:01:04.6,,97,555,70
556,2,t,1,+1 Lap,6,t,3,,,96,556,70
557,3,t,1,+1 Lap,4,t,5,,,96,557,70
558,4,t,1,+1 Lap,3,t,6,,,96,558,70
559,5,t,1,+1 Lap,2,t,9,,,96,559,70
560,6,t,1,+3 Laps,0,t,11,,,94,560,70
561,7,t,1,+6 Laps,0,t,7,,,91,561,70
562,7,t,1,+6 Laps,0,t,7,,,91,562,70
563,8,t,1,+7 Laps,0,t,16,,,90,563,70
564,9,t,1,+10 Laps,0,t,12,,,87,564,70
565,10,f,11,Wheel,0,t,8,,,67,565,70
566,11,f,11,Transmission,0,t,2,,,36,566,70
567,12,f,11,Transmission,0,t,15,,,32,567,70
568,13,f,10,Accident,0,t,4,,,31,568,70
569,14,f,11,Gearbox,0,t,10,,,24,569,70
570,15,f,11,Differential,0,t,14,,,21,570,70
571,16,f,11,Wheel,0,t,13,,,20,571,70
572,1,t,0,Finished,9,t,1,03:53:01.69,,200,572,73
573,2,t,0,Finished,6,t,12,03:56:32.56,,200,573,73
574,3,t,0,Finished,2,t,9,03:57:13.19,,200,574,73
575,3,t,0,Finished,2,t,9,03:57:13.19,,200,575,73
576,4,t,0,Finished,1.5,t,2,03:57:40.93,,200,576,73
577,4,t,0,Finished,1.5,t,2,03:57:40.93,,200,577,73
578,5,t,0,Finished,2,t,3,04:00:51.33,,200,578,73
579,6,t,0,Finished,0,t,21,04:01:11.9,,200,579,73
580,7,t,0,Finished,0,t,25,04:01:47.71,,200,580,73
581,7,t,0,Finished,0,t,25,04:01:47.71,,200,581,73
582,8,t,0,Finished,0,t,20,04:03:06.24,,200,582,73
583,9,t,10,Accident,0,t,6,,,196,583,73
584,9,t,10,Accident,0,t,6,,,196,584,73
585,9,t,10,Accident,0,t,6,,,196,585,73
586,10,t,1,+7 Laps,0,t,32,,,193,586,73
587,11,t,10,Accident,0,t,26,,,191,587,73
588,12,t,1,+10 Laps,0,t,19,,,190,588,73
589,12,t,1,+10 Laps,0,t,19,,,190,589,73
590,13,t,11,Engine,0,t,4,,,184,590,73
591,14,t,1,+17 Laps,0,t,31,,,183,591,73
592,15,t,11,Magneto,0,t,28,,,177,592,73
593,15,t,11,Magneto,0,t,28,,,177,593,73
594,16,t,11,Axle,0,t,10,,,177,594,73
595,16,t,11,Axle,0,t,10,,,177,595,73
596,16,t,11,Axle,0,t,10,,,177,596,73
597,17,t,1,+24 Laps,0,t,14,,,176,597,73
598,17,t,1,+24 Laps,0,t,14,,,176,598,73
599,18,f,11,Oil leak,0,t,22,,,169,599,73
600,19,f,11,Oil leak,0,t,18,,,166,600,73
601,19,f,11,Oil leak,0,t,18,,,166,601,73
602,19,f,11,Oil leak,0,t,18,,,166,602,73
603,20,f,11,Suspension,0,t,29,,,151,603,73
604,21,f,11,Transmission,0,t,23,,,146,604,73
605,22,f,10,Accident,0,t,24,,,115,605,73
606,23,f,11,Overheating,0,t,7,,,107,606,73
607,23,f,11,Overheating,0,t,7,,,107,607,73
608,23,f,11,Overheating,0,t,7,,,107,608,73
609,24,f,11,Ignition,0,t,27,,,94,609,73
610,25,f,11,Magneto,0,t,17,,,89,610,73
611,26,f,11,Engine,0,t,8,,,86,611,73
612,27,f,10,Accident,0,t,15,,,76,612,73
613,28,f,10,Accident,0,t,13,,,53,613,73
614,29,f,11,Fuel leak,0,t,16,,,42,614,73
615,30,f,11,Magneto,0,t,30,,,30,615,73
616,31,f,11,Oil leak,0,t,11,,,14,616,73
617,32,f,11,Ignition,0,t,33,,,6,617,73
618,33,f,10,Accident,0,t,5,,,3,618,73
619,1,t,0,Finished,8,t,1,02:53:35.8,,90,619,76
620,2,t,0,Finished,6,t,3,02:53:46.2,,90,620,76
621,3,t,1,+1 Lap,2,t,13,,,89,621,76
622,3,t,1,+1 Lap,2,t,13,,,89,622,76
623,4,t,1,+1 Lap,3,t,6,,,89,623,76
624,5,t,1,+2 Laps,2,t,7,,,88,624,76
625,6,t,1,+3 Laps,0,t,12,,,87,625,76
626,7,t,1,+4 Laps,0,t,8,,,86,626,76
627,8,t,1,+6 Laps,0,t,16,,,84,627,76
628,9,t,1,+7 Laps,0,t,9,,,83,628,76
629,10,f,11,Throttle,1,t,4,,,67,629,76
630,11,f,11,Engine,0,t,14,,,63,630,76
631,12,f,11,Transmission,0,t,10,,,59,631,76
632,13,f,1,Not classified,0,t,17,,,52,632,76
633,14,f,11,Axle,0,t,2,,,36,633,76
634,15,f,11,Transmission,0,t,19,,,28,634,76
635,16,f,11,Axle,0,t,5,,,22,635,76
636,17,f,11,Physical,0,t,18,,,19,636,76
637,18,f,11,Engine,0,t,11,,,14,637,76
638,19,f,11,Throttle,0,t,15,,,7,638,76
639,1,t,0,Finished,8,t,2,02:48:30.3,,36,639,79
640,2,t,0,Finished,6,t,5,02:51:18.5,,36,640,79
641,3,t,1,+1 Lap,4,t,16,,,35,641,79
642,4,t,1,+1 Lap,3,t,9,,,35,642,79
643,5,t,1,+1 Lap,2,t,8,,,35,643,79
644,6,t,1,+1 Lap,0,t,7,,,35,644,79
645,7,t,1,+3 Laps,0,t,12,,,33,645,79
646,8,t,1,+3 Laps,0,t,13,,,33,646,79
647,9,t,1,+4 Laps,0,t,15,,,32,647,79
648,10,t,1,+6 Laps,0,t,11,,,30,648,79
649,11,t,1,+7 Laps,0,t,18,,,29,649,79
650,12,f,10,Accident,0,t,10,,,35,650,79
651,12,f,10,Accident,0,t,10,,,35,651,79
652,13,f,11,Engine,0,t,17,,,19,652,79
653,14,f,11,Engine,0,t,4,,,16,653,79
654,15,f,11,Engine,0,t,1,,,13,654,79
655,16,f,11,Throttle,1,t,3,,,11,655,79
656,17,f,11,Engine,0,t,14,,,9,656,79
657,18,f,11,Clutch,0,t,16,,,4,657,79
658,19,f,11,Engine,0,t,20,,,3,658,79
659,20,f,11,Transmission,0,t,19,,,0,659,79
660,1,t,0,Finished,8,t,7,02:44:18.6,,60,660,82
661,2,t,0,Finished,7,t,4,02:44:19.6,,60,661,82
662,3,t,0,Finished,4,t,5,02:44:20,,60,662,82
663,4,t,0,Finished,3,t,1,02:44:23.2,,60,663,82
664,5,t,0,Finished,2,t,6,02:45:26.2,,60,664,82
665,6,t,0,Finished,0,t,3,02:45:34.5,,60,665,82
666,7,t,1,+2 Laps,0,t,9,,,58,666,82
667,8,t,1,+4 Laps,0,t,10,,,56,667,82
668,9,t,1,+5 Laps,0,t,8,,,55,668,82
669,10,t,1,+5 Laps,0,t,22,,,55,669,82
670,11,t,1,+5 Laps,0,t,12,,,55,670,82
671,12,t,1,+7 Laps,0,t,21,,,53,671,82
672,13,t,1,+8 Laps,0,t,17,,,52,672,82
673,14,t,1,+10 Laps,0,t,18,,,50,673,82
674,15,t,1,+17 Laps,0,t,25,,,43,674,82
675,16,f,11,Engine,0,t,2,,,42,675,82
676,17,f,11,Clutch,0,t,13,,,38,676,82
677,18,f,11,Differential,0,t,11,,,29,677,82
678,19,f,11,Engine,0,t,15,,,18,678,82
679,20,f,11,Wheel bearing,0,t,14,,,17,679,82
680,21,f,11,Transmission,0,t,23,,,14,680,82
681,22,f,11,Clutch,0,t,16,,,9,681,82
682,23,f,11,Engine,0,t,20,,,4,682,82
683,24,f,11,Axle,0,t,24,,,4,683,82
684,25,f,11,Ignition,0,t,19,,,2,684,82
685,1,t,0,Finished,8.5,t,1,02:50:00,,90,685,85
686,2,t,0,Finished,6,t,4,02:51:00,,90,686,85
687,3,t,1,+2 Laps,4,t,5,,,88,687,85
688,4,t,1,+2 Laps,3.5,t,2,,,88,688,85
689,5,t,1,+3 Laps,2,t,3,,,87,689,85
690,6,t,1,+8 Laps,0,t,16,,,82,690,85
691,7,t,1,+8 Laps,0,t,19,,,82,691,85
692,8,t,1,+10 Laps,0,t,11,,,80,692,85
693,9,t,1,+11 Laps,0,t,14,,,79,693,85
694,10,t,1,+12 Laps,0,t,24,,,78,694,85
695,11,f,10,Spun off,0,t,15,,,79,695,85
696,12,f,11,Halfshaft,0,t,10,,,70,696,85
697,13,f,11,Axle,0,t,6,,,65,697,85
698,14,f,11,Engine,0,t,7,,,65,698,85
699,15,f,11,Overheating,0,t,21,,,56,699,85
700,16,f,10,Spun off,0,t,23,,,56,700,85
701,17,f,11,Clutch,0,t,27,,,54,701,85
702,18,f,11,Wheel,0,t,28,,,50,702,85
703,19,f,11,Clutch,0,t,26,,,34,703,85
704,20,f,11,Clutch,0,t,12,,,31,704,85
705,21,f,11,Fuel pump,0,t,22,,,30,705,85
706,22,f,11,Ignition,0,t,20,,,24,706,85
707,23,f,11,Axle,0,t,8,,,14,707,85
708,24,f,11,Clutch,0,t,17,,,14,708,85
709,25,f,11,Electrical,0,t,9,,,5,709,85
710,26,f,11,Retired,0,t,13,,,0,710,85
711,27,f,11,Fuel system,0,t,25,,,0,711,85
712,1,t,0,Finished,8,t,3,03:02:25,,18,712,88
713,2,t,0,Finished,6,t,2,03:03:29,,18,713,88
714,3,t,0,Finished,4,t,4,03:04:08.6,,18,714,88
715,4,t,0,Finished,3,t,7,03:11:13.6,,18,715,88
716,5,t,1,+1 Lap,2,t,11,,,17,716,88
717,6,t,1,+1 Lap,0,t,12,,,17,717,88
718,7,t,1,+1 Lap,0,t,19,,,17,718,88
719,8,t,1,+1 Lap,0,t,1,,,17,719,88
720,8,t,1,+1 Lap,0,t,1,,,17,720,88
721,9,t,1,+1 Lap,0,t,14,,,17,721,88
722,10,t,1,+1 Lap,0,t,22,,,17,722,88
723,11,t,1,+2 Laps,0,t,20,,,16,723,88
724,12,t,1,+2 Laps,0,t,28,,,16,724,88
725,13,t,1,+2 Laps,0,t,16,,,16,725,88
726,14,t,1,+2 Laps,0,t,26,,,16,726,88
727,15,t,1,+3 Laps,0,t,32,,,15,727,88
728,16,t,1,+4 Laps,0,t,29,,,14,728,88
729,17,f,11,Engine,0,t,6,,,15,729,88
730,17,f,11,Engine,1,t,6,,,15,730,88
731,18,f,11,Engine,0,t,17,,,15,731,88
732,19,f,11,Suspension,0,t,8,,,13,732,88
733,20,f,11,Exhaust,0,t,24,,,12,733,88
734,21,f,11,Retired,0,t,25,,,12,734,88
735,22,f,11,Retired,0,t,34,,,10,735,88
736,23,f,11,Retired,0,t,18,,,8,736,88
737,24,f,11,Gearbox,0,t,9,,,7,737,88
738,25,f,11,Engine,0,t,10,,,6,738,88
739,26,f,11,Suspension,0,t,15,,,6,739,88
740,27,f,11,Retired,0,t,21,,,3,740,88
741,28,f,11,Retired,0,t,27,,,3,741,88
742,29,f,11,Retired,0,t,30,,,2,742,88
743,30,f,11,Differential,0,t,5,,,1,743,88
744,31,f,11,Engine,0,t,13,,,1,744,88
745,32,f,11,Retired,0,t,33,,,1,745,88
746,33,f,11,Retired,0,t,23,,,0,746,88
747,34,f,11,Fuel pump,0,t,31,,,0,747,88
748,1,t,0,Finished,9,t,2,03:01:34.4,,65,748,91
749,2,t,0,Finished,6,t,3,03:02:47.33,,65,749,91
750,3,t,0,Finished,4,t,7,03:03:10.36,,65,750,91
751,4,t,1,+1 Lap,1.5,t,1,,,64,751,91
752,4,t,1,+1 Lap,1.5,t,1,,,64,752,91
753,5,t,1,+3 Laps,2,t,11,,,62,753,91
754,6,t,1,+3 Laps,0,t,6,,,62,754,91
755,7,t,1,+3 Laps,0,t,9,,,62,755,91
756,8,t,1,+14 Laps,0,t,19,,,51,756,91
757,9,t,1,+16 Laps,0,t,18,,,49,757,91
758,10,f,11,Gearbox,0,t,20,,,54,758,91
759,11,f,11,Transmission,0,t,8,,,49,759,91
760,12,f,11,Engine,0,t,5,,,46,760,91
761,13,f,11,Axle,0,t,4,,,43,761,91
762,14,f,11,Oil pressure,0,t,12,,,37,762,91
763,15,f,11,Engine,0,t,10,,,29,763,91
764,15,f,11,Engine,0,t,10,,,29,764,91
765,16,f,11,Engine,0,t,15,,,29,765,91
766,17,f,11,Engine,0,t,17,,,17,766,91
767,18,f,11,Engine,0,t,16,,,1,767,91
768,19,f,10,Spun off,0,t,13,,,0,768,91
769,20,f,10,Spun off,0,t,14,,,0,769,91
770,1,t,0,Finished,9,t,2,02:49:45.9,,80,770,94
771,2,t,0,Finished,6,t,3,02:49:47.3,,80,771,94
772,3,t,1,+1 Lap,4,t,5,,,79,772,94
773,4,t,1,+1 Lap,3,t,6,,,79,773,94
774,5,t,1,+1 Lap,2,t,8,,,79,774,94
775,6,t,1,+3 Laps,0,t,16,,,77,775,94
776,7,t,1,+4 Laps,0,t,12,,,76,776,94
777,7,t,1,+4 Laps,0,t,12,,,76,777,94
778,8,t,1,+5 Laps,0,t,11,,,75,778,94
779,9,t,1,+5 Laps,0,t,15,,,75,779,94
780,10,t,1,+8 Laps,0,t,25,,,72,780,94
781,11,t,1,+8 Laps,0,t,23,,,72,781,94
782,12,t,1,+10 Laps,0,t,24,,,70,782,94
783,13,t,1,+10 Laps,0,t,10,,,70,783,94
784,14,t,1,+13 Laps,0,t,29,,,67,784,94
785,15,t,1,+13 Laps,0,t,28,,,67,785,94
786,16,t,1,+15 Laps,0,t,17,,,65,786,94
787,17,f,10,Accident,0,t,1,,,79,787,94
788,18,f,11,Out of fuel,0,t,7,,,77,788,94
789,19,f,10,Accident,0,t,4,,,75,789,94
790,20,f,11,Engine,0,t,9,,,70,790,94
791,21,f,1,Not classified,0,t,22,,,61,791,94
792,22,f,1,Not classified,0,t,19,,,57,792,94
793,23,f,1,Not classified,0,t,18,,,56,793,94
794,24,f,11,Engine,0,t,20,,,40,794,94
795,25,f,11,Throttle,0,t,14,,,33,795,94
796,26,f,11,Engine,0,t,21,,,18,796,94
797,27,f,11,Engine,0,t,13,,,17,797,94
798,28,f,11,Engine,0,t,26,,,14,798,94
799,29,f,11,Fuel system,0,t,30,,,7,799,94
800,30,f,11,Engine,0,t,27,,,6,800,94
801,1,t,0,Finished,8,t,3,03:00:55.8,,87,801,97
802,2,t,0,Finished,6,t,1,03:02:14.8,,87,802,97
803,3,t,0,Finished,5,t,2,03:02:56.8,,87,803,97
804,4,t,1,+1 Lap,3,t,5,,,86,804,97
805,5,t,1,+2 Laps,2,t,15,,,85,805,97
806,6,t,1,+3 Laps,0,t,11,,,84,806,97
807,7,t,1,+4 Laps,0,t,10,,,83,807,97
808,8,t,1,+4 Laps,0,t,13,,,83,808,97
809,9,t,1,+5 Laps,0,t,12,,,82,809,97
810,10,f,20,Disqualified,0,t,17,,,61,810,97
811,11,f,20,Disqualified,0,t,4,,,52,811,97
812,12,f,11,Engine,0,t,6,,,48,812,97
813,13,f,11,Oil leak,0,t,8,,,37,813,97
814,14,f,11,Oil pressure,0,t,16,,,19,814,97
815,15,f,11,Gearbox,0,t,18,,,19,815,97
816,16,f,10,Accident,0,t,14,,,1,816,97
817,17,f,30,Withdrew,0,t,7,,,0,817,97
818,18,f,30,Withdrew,0,t,9,,,0,818,97
819,1,t,0,Finished,8,t,19,03:49:17.27,,200,819,100
820,2,t,0,Finished,6,t,3,03:50:27.22,,200,820,100
821,3,t,0,Finished,5,t,1,03:50:37,,200,821,100
822,4,t,0,Finished,1.5,t,11,03:52:09.95,,200,822,100
823,4,t,0,Finished,1.5,t,11,03:52:09.95,,200,823,100
824,5,t,0,Finished,2,t,14,03:52:41.82,,200,824,100
825,6,t,0,Finished,0,t,24,03:53:04.82,,200,825,100
826,7,t,0,Finished,0,t,6,03:53:30.62,,200,826,100
827,8,t,0,Finished,0,t,32,03:54:18.44,,200,827,100
828,8,t,0,Finished,0,t,32,03:54:18.44,,200,828,100
829,9,t,0,Finished,0,t,25,03:56:24.51,,200,829,100
830,10,t,0,Finished,0,t,13,03:56:24.96,,200,830,100
831,11,t,0,Finished,0,t,27,03:57:39.46,,200,831,100
832,11,t,0,Finished,0,t,27,03:57:39.46,,200,832,100
833,11,t,0,Finished,0,t,27,03:57:39.46,,200,833,100
834,11,t,0,Finished,0,t,27,03:57:39.46,,200,834,100
835,11,t,0,Finished,0,t,27,03:57:39.46,,200,835,100
836,12,t,1,+1 Lap,0,t,5,,,199,836,100
837,12,t,1,+1 Lap,0,t,5,,,199,837,100
838,13,t,1,+3 Laps,0,t,22,,,197,838,100
839,14,t,1,+3 Laps,0,t,9,,,197,839,100
840,15,t,1,+4 Laps,0,t,8,,,196,840,100
841,15,t,1,+4 Laps,0,t,8,,,196,841,100
842,15,t,1,+4 Laps,0,t,8,,,196,842,100
843,15,t,1,+4 Laps,0,t,8,,,196,843,100
844,16,t,1,+6 Laps,0,t,20,,,194,844,100
845,17,t,1,+6 Laps,0,t,7,,,194,845,100
846,18,t,1,+7 Laps,0,t,31,,,193,846,100
847,18,t,1,+7 Laps,0,t,31,,,193,847,100
848,19,t,1,+7 Laps,0,t,33,,,193,848,100
849,19,t,1,+7 Laps,0,t,33,,,193,849,100
850,20,f,10,Spun off,0,t,10,,,191,850,100
851,20,f,10,Spun off,0,t,10,,,191,851,100
852,20,f,10,Spun off,0,t,10,,,191,852,100
853,21,f,10,Spun off,0,t,12,,,181,853,100
854,22,f,11,Retired,0,t,16,,,172,854,100
855,22,f,11,Retired,0,t,16,,,172,855,100
856,23,f,11,Clutch,0,t,17,,,168,856,100
857,23,t,11,Clutch,0,t,17,,,168,857,100
858,24,f,11,Retired,0,t,4,,,165,858,100
859,24,f,11,Retired,0,t,4,,,165,859,100
860,24,f,11,Retired,0,t,4,,,165,860,100
861,25,f,11,Suspension,0,t,23,,,165,861,100
862,25,f,11,Suspension,0,t,23,,,165,862,100
863,26,f,11,Engine,0,t,30,,,130,863,100
864,27,f,10,Accident,0,t,2,,,111,864,100
865,28,f,10,Accident,0,t,28,,,110,865,100
866,28,f,10,Accident,0,t,28,,,110,866,100
867,29,f,11,Wheel bearing,0,t,21,,,105,867,100
868,30,f,11,Fuel pump,0,t,29,,,104,868,100
869,30,f,11,Fuel pump,0,t,29,,,104,869,100
870,31,f,11,Brakes,0,t,26,,,101,870,100
871,31,f,11,Brakes,0,t,26,,,101,871,100
872,32,f,11,Engine,0,t,15,,,79,872,100
873,33,f,10,Accident,0,t,18,,,74,873,100
874,1,t,0,Finished,9,t,1,02:44:42.4,,36,874,103
875,2,t,0,Finished,6,t,6,02:45:06.6,,36,875,103
876,3,t,1,+1 Lap,4,t,9,,,35,876,103
877,4,t,1,+1 Lap,1.5,t,5,,,35,877,103
878,4,t,1,+1 Lap,1.5,t,5,,,35,878,103
879,5,t,1,+1 Lap,2,t,8,,,35,879,103
880,6,t,1,+1 Lap,0,t,13,,,35,880,103
881,7,t,1,+2 Laps,0,t,11,,,34,881,103
882,8,f,11,Ignition,0,t,3,,,14,882,103
883,9,f,11,Engine,0,t,10,,,14,883,103
884,10,f,11,Suspension,0,t,7,,,12,884,103
885,11,f,11,Engine,0,t,4,,,3,885,103
886,12,f,11,Engine,0,t,2,,,1,886,103
887,13,f,11,Engine,0,t,14,,,1,887,103
888,14,f,11,Heat shield fire,0,t,12,,,0,888,103
889,1,t,0,Finished,8,t,1,02:42:47.9,,61,889,106
890,2,t,0,Finished,6,t,2,02:42:48,,61,890,106
891,3,t,1,+1 Lap,4,t,12,,,60,891,106
892,4,t,1,+1 Lap,3,t,6,,,60,892,106
893,5,t,1,+3 Laps,2,t,14,,,58,893,106
894,6,t,1,+5 Laps,0,t,17,,,56,894,106
895,7,f,11,Axle,0,t,19,,,50,895,106
896,8,f,11,Engine,0,t,9,,,36,896,106
897,9,f,11,Engine,0,t,13,,,27,897,106
898,10,f,11,Gearbox,0,t,5,,,27,898,106
899,11,f,11,Engine,0,t,11,,,24,899,106
900,12,f,11,Transmission,0,t,16,,,19,900,106
901,13,f,11,Fuel pump,0,t,21,,,19,901,106
902,14,f,11,Engine,1,t,7,,,16,902,106
903,15,f,11,Halfshaft,0,t,10,,,15,903,106
904,16,f,11,Engine,0,t,4,,,13,904,106
905,17,f,11,Engine,0,t,15,,,10,905,106
906,18,f,11,Engine,0,t,20,,,9,906,106
907,19,f,11,Engine,0,t,8,,,9,907,106
908,20,f,11,Engine,0,t,18,,,8,908,106
909,21,f,11,Transmission,0,t,3,,,1,909,106
910,22,f,30,Withdrew,0,t,0,,,0,910,106
911,1,t,0,Finished,8.14,t,2,02:56:14,,90,911,109
912,2,t,0,Finished,6.14,t,3,02:57:24,,90,912,109
913,3,t,1,+1 Lap,4.14,t,28,,,89,913,109
914,4,t,1,+1 Lap,3.14,t,1,,,89,914,109
915,5,t,1,+3 Laps,2,t,8,,,87,915,109
916,6,t,1,+3 Laps,0,t,32,,,87,916,109
917,7,t,1,+3 Laps,0,t,6,,,87,917,109
918,8,t,1,+4 Laps,0,t,9,,,86,918,109
919,9,t,1,+4 Laps,0,t,12,,,86,919,109
920,10,t,1,+5 Laps,0,t,18,,,85,920,109
921,11,t,1,+6 Laps,0,t,17,,,84,921,109
922,12,t,1,+7 Laps,0,t,16,,,83,922,109
923,13,t,1,+8 Laps,0,t,22,,,82,923,109
924,14,t,1,+12 Laps,0,t,23,,,78,924,109
925,15,t,1,+46 Laps,0,t,20,,,44,925,109
926,16,f,11,Axle,0,t,4,,,80,926,109
927,17,f,11,Fuel system,0,t,19,,,63,927,109
928,18,f,11,Suspension,0,t,5,,,54,928,109
929,19,f,11,Transmission,0,t,7,,,53,929,109
930,20,f,10,Accident,0,t,10,,,44,930,109
931,20,f,10,Accident,0,t,10,,,44,931,109
932,21,f,11,Engine,0,t,27,,,40,932,109
933,21,f,11,Engine,0,t,27,,,40,933,109
934,22,f,10,Accident,0,t,21,,,40,934,109
935,23,f,11,Engine,0,t,14,,,25,935,109
936,24,f,11,Engine,0,t,30,,,21,936,109
937,25,f,10,Accident,0,t,13,,,18,937,109
938,26,f,11,Engine,0,t,11,,,16,938,109
939,27,f,11,Engine,0,t,15,,,16,939,109
940,28,f,11,Oil leak,0,t,24,,,4,940,109
941,29,f,11,Engine,0,t,25,,,2,941,109
942,30,f,11,Engine,0,t,31,,,2,942,109
943,31,f,30,Withdrew,0,t,26,,,0,943,109
944,32,f,30,Withdrew,0,t,29,,,0,944,109
945,1,t,0,Finished,8,t,1,03:45:45.8,,22,945,112
946,2,t,0,Finished,3,t,5,03:47:22.3,,22,946,112
947,2,t,0,Finished,3,t,5,03:47:22.3,,22,947,112
948,3,t,0,Finished,4,t,7,03:50:54.4,,22,948,112
949,4,t,0,Finished,4,t,23,03:51:52.3,,22,949,112
950,5,t,0,Finished,2,t,15,03:54:36.3,,22,950,112
951,6,t,1,+1 Lap,0,t,13,,,21,951,112
952,7,t,1,+1 Lap,0,t,14,,,21,952,112
953,8,t,1,+1 Lap,0,t,11,,,21,953,112
954,9,t,1,+2 Laps,0,t,12,,,20,954,112
955,10,t,1,+2 Laps,0,t,9,,,20,955,112
956,11,f,11,Steering,0,t,19,,,18,956,112
957,12,f,10,Spun off,0,t,13,,,10,957,112
958,13,f,11,Wheel,0,t,16,,,8,958,112
959,14,f,11,Engine,0,t,21,,,8,959,112
960,15,f,11,Fuel leak,0,t,4,,,7,960,112
961,16,f,11,Wheel,0,t,4,,,4,961,112
962,17,f,11,Transmission,0,t,3,,,3,962,112
963,18,f,11,Fuel leak,0,t,17,,,2,963,112
964,19,f,11,Wheel bearing,0,t,3,,,1,964,112
965,20,f,11,Suspension,0,t,20,,,0,965,112
966,21,f,30,Accident,0,t,8,,,0,966,112
967,22,f,30,Withdrew,0,t,10,,,0,967,112
968,23,f,30,Withdrew,0,t,22,,,0,968,112
969,1,t,0,Finished,9,t,2,03:00:34.5,,66,969,115
970,2,t,0,Finished,6,t,1,03:01:32.3,,66,970,115
971,3,t,1,+1 Lap,4,t,7,,,65,971,115
972,4,t,1,+2 Laps,3,t,12,,,64,972,115
973,5,t,1,+2 Laps,2,t,9,,,64,973,115
974,6,t,1,+2 Laps,0,t,8,,,64,974,115
975,7,t,1,+5 Laps,0,t,11,,,61,975,115
976,8,t,1,+8 Laps,0,t,16,,,58,976,115
977,9,f,11,Fuel system,0,t,5,,,38,977,115
978,10,f,11,Engine,0,t,4,,,33,978,115
979,11,f,11,Oil leak,0,t,6,,,30,979,115
980,12,f,11,Oil pump,0,t,13,,,23,980,115
981,13,f,11,Oil pump,0,t,3,,,21,981,115
982,14,f,11,Transmission,0,t,15,,,10,982,115
983,15,f,11,Clutch,0,t,14,,,8,983,115
984,16,f,11,Fuel pump,0,t,10,,,0,984,115
985,17,f,30,Accident,0,t,0,,,0,985,115
